Method ID,Method Name,Method Context 
F-01,Fluoride in Soil and Sediment,USDOE/EML
8308,Fluoride in Urine by ISE,NIOSH
8029,Fluoride in Water,HACH
939.11,Fluoride in Water,AOAC
340.3,Fluoride in Water by Colorimetry,USEPA
4500-F-E,Fluoride in Water by Colorimetry,APHA
I1325,Fluoride in Water by Colorimetry,USDOI/USGS
I3325,Fluoride in Water by Colorimetry,USDOI/USGS
I7325,Fluoride in Water by Colorimetry,USDOI/USGS
4500-F-F,Fluoride in Water by Ion Chromatography,APHA
9214,Fluoride in Water by ISE,USEPA
4500-F-D,Fluoride in Water by Spectrophotometry,APHA
340.2,Fluoride in Water Using an ISE,USEPA
4500-F-C,Fluoride in Water Using an ISE,APHA
I1327,Fluoride in Water Using an ISE,USDOI/USGS
I2327,Fluoride in Water Using an ISE,USDOI/USGS
I4327,Fluoride in Water Using an ISE,USDOI/USGS
I7327,Fluoride in Water Using an ISE,USDOI/USGS
340.6,Fluoride in Wet Deposition,IL/SWSD
D1179(A),Fluoride Ion in Water Using Distillation,ASTM
D1179(B),Fluoride Ion in Water Using ISE,ASTM
D3868,Fluoride Ions in Saline Water,ASTM
8323,"Fluoride, Electrode",HACH
D3269(ISE),Fluorides in Plants/Atmosphere,ASTM
D3269(SPEC),Fluorides in Plants/Atmosphere,ASTM
D3269(TITR),Fluorides in Plants/Atmosphere,ASTM
D3270,Fluorides in Plants/Atmosphere,ASTM
D3266,Fluorides in the Atmosphere,ASTM
D3267,Fluorides in the Atmosphere,ASTM
D3268,Fluorides in the Atmosphere,ASTM
D4765,Fluorides in the Workplace Atmospheres,ASTM
7906,"Fluorides, Aerosol and Gas, by IC",NIOSH
7902,"Fluorides, Aerosol and Gas, by ISE",NIOSH
1006,Fluorotrichloromethane by GC/FID,NIOSH
PMD-FOL,Folpet by IR Spectroscopy,USEPA
PMD-FON,Fonofos by IR Spectroscopy,USEPA
IP-6A,"Formaldehyde - Indoor Air, HPLC",USEPA
D5014,"Formaldehyde - Indoor Air, MBTH",ASTM
2541,Formaldehyde by GC/FID,NIOSH
3500,Formaldehyde by Visible Absorption Spec.,NIOSH
IP-6B,Formaldehyde in Air - Colorimetric,USEPA
IP-6C,Formaldehyde in Air - Passive Sampling,USEPA
8520,Formaldehyde in Ambient Air,USEPA
TO-11,Formaldehyde in Ambient Air,USEPA
6 (FORMALDEHYD),Formaldehyde in Wastewater by GC,USEPA
5700,Formaldehyde On Dust by HPLC/UV,NIOSH
2011,Formic Acid by Ion Chromatography,NIOSH
8021,Free Chlorine in Water by DPD,HACH
8334,Free Chlorine in Water by Titration,HACH
D4282,Free Cyanide in Water by Microdiffusion,ASTM
C-012-1,Free Liquid in Wastes by Filtration,USEPA
2529,Furfural Gas Chromatography/FID,NIOSH
2505,Furfuryl Alcohol by GC/FID,NIOSH
901.1,Gamma Emitters in Drinking Water,USEPA
RI010,Gamma-Ray Spectrometry,USDOE/ASD
1RM-15,Gaseous Emissions from Fossil Boilers,ENV/CANADA
101A,Gaseous Mercury from Sewage/Sludge Incinerators,USEPA
101,Gaseous Mercury in Air by CVAA,USEPA
18,Gaseous Organic Compound Emission in Air,USEPA
D4490,Gases/Vapors by Detector Tubes,ASTM
2532,Glutaraldehyde by HPLC/UV,NIOSH
1608,Glycidol by GC/FID,NIOSH
963.23,Glyodin Pesticide Residues,AOAC
991.08,Glyphosate and AMPA in Environmental Water,AOAC
PMD-GLP,Glyphosate by HPLC,USEPA
6651-B,Glyphosate Herbicide in Water,APHA
547,Glyphosate in Drinking Water by HPLC,USEPA
231.1,Gold by FLAA,USEPA
231.2,Gold by GFAA,USEPA
3500-AU,Gold in Water by FLAA,APHA
7010,GRAPHITE FURNACE ATOMIC ABSORPTION SPECTROPHOTOMETRY,USEPA
00-02,Gross Alpha Activity in Drinking Water by Coprecipitation,USEPA
9310,Gross Alpha and Beta,USEPA
RP710,Gross Alpha and Beta Activity,USDOE/ASD
R-006-1,Gross Alpha and Beta Activity in Soil,USEPA
00-01,Gross Alpha and Beta Activity in Water,USEPA
3,Gross Alpha and Beta Activity in Water,USEPA
900,Gross Alpha and Beta Activity in Water,USEPA
7110-B,Gross Alpha and Beta Radioactivity,APHA
7110-C,Gross Alpha Radioactivity in Water,APHA
RP720,"Gross Alpha, Beta and Tritium in Water",USDOE/ASD
R-007-1,Gross Alpha/Beta Activity in Biota,USEPA
R-008-1,"Gross Alpha/Beta Activity in Biota, Extended",USEPA
R-002-1,Gross Alpha/Beta Activity in Soil,USEPA
R-004-1,Gross Alpha/Beta Activity in Water,USEPA
R-005-1,Gross Alpha/Beta Activity in Water,USEPA
RP730,Gross Gamma Screening for Matrices,USDOE/ASD
RP725,Group Actinide Screening by Extraction,USDOE/ASD
8021A(PID),Halo and Aromatic Volatiles - CGC/PID,USEPA
552.2,Haloacetic Acids and Dalapon in Water Using GCECD,USEPA
6233-B,Haloacetic Acids and Trichlorphenol,APHA
552,Haloacetic Acids in Water by GC,USEPA
552.1,Haloacetic Acids in Water by GC,USEPA
8110,Haloethers by Gas Chromatography,USEPA
8111(S),Haloethers by Gas Chromatography,USEPA
8111(W),Haloethers by Gas Chromatography,USEPA
611,Haloethers in Wastewater by GC,USEPA
8021A(ELCD),Halogenated and Aromatic Volatiles,USEPA
1003,Halogenated Hydrocarbons by GC/FID,NIOSH
D3973,Halogenated Hydrocarbons in Water,ASTM
VA-004-1,Halogenated VOCs in Air by Direct GC/EC,USEPA
VA-002-1,Halogenated VOCs in Air by GC/ELCD,USEPA
VG-003-1,Halogenated VOCs in Soil Gas by GC/EC,USEPA
VG-004-1,Halogenated VOCs in Soil Gas by GC/ECD,USEPA
VG-002-1,Halogenated VOCs in Soil Gas by GC/ELCD,USEPA
VG-005-1,Halogenated VOCs in Soil Gas by GC/PID,USEPA
8010B,Halogenated Volatile Organics by GC,USEPA
2340B,Hardness by Calculation,APHA
D1126,Hardness in Water,ASTM
973.52,Hardness of Water,AOAC
HERL_002,HCB and Mirex in Tissue,USEPA
3810,Headspace Technique for Volatiles,USEPA
960.1,Herbicides (Ester Forms),AOAC
8241,"Heterotrophic Bacteria, Pour Plate",HACH
9215-D,Heterotrophic Plate Count- Membrane Filter Method,APHA
9215-B,Heterotrophic Plate Count- Pour Plate Method,APHA
9215-C,Heterotrophic Plate Count- Spread Plate Method,APHA
2518,"Hexachloro-1,3-Cyclopentadiene by GC/ECD",NIOSH
980.22,Hexachlorobenzene/Mirex Residue in Adipose,AOAC
977.19,Hexachlorobenzene/Mirex Residues in Fat,AOAC
2543,Hexachlorobutadiene by GC/ECD,NIOSH
604.1,Hexachlorophene and Dichlorophen,USEPA
PMD-HXE,Hexachlorophene by HPLC,USEPA
3820,Hexadecane Screening for Volatiles,USEPA
I-003-1,Hexavalent Chromium,USEPA
7196A,Hexavalent Chromium (Colorimetric),USEPA
7195,Hexavalent Chromium (Coprecipitation),USEPA
I1230,Hexavalent Chromium by Colorimetry,USDOI/USGS
218.4,Hexavalent Chromium by FLAA,USEPA
7197,Hexavalent Chromium by FLAA,USEPA
218.5,Hexavalent Chromium by GFAA,USEPA
218.6,Hexavalent Chromium by Ion Chromatograph,USEPA
7604,Hexavalent Chromium by Ion Chromatograph,NIOSH
7198,Hexavalent Chromium by Polarography,USEPA
7600,Hexavalent Chromium by UV-Visible Spec.,NIOSH
1636,Hexavalent Chromium in Ambient Water by Ion Chromatography,USEPA
61,Hexavalent Chromium in Stack Emissions,USEPA
OSW-B,Hexavalent Chromium in Stack Emissions,USEPA
8023,Hexavalent Chromium in Water,HACH
I1232,Hexavalent Chromium in Water by FLAA,USDOI/USGS
7199,Hexavalent Chromium in Water by IC,USEPA
PMD-HXO(GC),Hexazinone by GC/TCD,USEPA
PMD-HXO(LC),Hexazinone by HPLC,USEPA
D888(A),High Level Dissolved Oxygen by Titration,ASTM
D3649,High Resolution Gamma-Ray Spectrometry,ASTM
TO-2,Highly Volatile Nonpolar Organics,USEPA
8300,Hippuric Acid in Urine by Visible Absorption,NIOSH
8301,Hippuric and Methyl Hippuric Acids,NIOSH
D5084,Hydraulic Conductivity,ASTM
3503,Hydrazine by Visible Absorption Spec.,NIOSH
D1385,Hydrazine in Water,ASTM
206.3_M,Hydride Generation ICP,USEPA
200.62(C),Hydride Generation ICP Analysis,USEPA
5520-F,Hydrocarbons by Gravimetric Analysis,APHA
50APP-E,Hydrocarbons in Atmosphere,USEPA
1500,"Hydrocarbons, BP 36-126 C by GC/FID",NIOSH
1RM-1,Hydrogen Chloride,ENV/CANADA
26,Hydrogen Chloride from Stationary Sources,USEPA
6010,Hydrogen Cyanide by Visible Absorption,NIOSH
INTERIM1,Hydrogen Cyanide Released from Wastes,USEPA
26A,Hydrogen Halide/Halogen by Isokinetic,USEPA
1SRM-1,Hydrogen Sulfide,ENV/CANADA
6013,Hydrogen Sulfide by Ion Chromatography,NIOSH
D4913,Hydrogen Sulfide in Air,ASTM
D4323,Hydrogen Sulfide in Atmosphere,ASTM
INTERIM2,Hydrogen Sulfide Released from Wastes,USEPA
15,"Hydrogen Sulfide, Carbonyl Sulfide",USEPA
I2602,Hydrolyzable plus Orthophosphate-Phosphorous,USDOI/USGS
5004,Hydroquinone by HPLC,NIOSH
D514,Hydroxide Ion in Water(discontinued 05/96),ASTM
6010A,ICP Spectroscopy,USEPA
MM210,"ICP/MS of Th230, Tc99 and U234",USDOE/ASD
MM800,ICP/MS of Uranium in Water,USDOE/ASD
MM100,ICP/MS Radionuclide Analyses,USDOE/ASD
200.7_M,ICP-AES For Trace Element Analysis,USEPA
D4478(A),Immediate Oxygen Uptake,ASTM
9711-B,Immunofluorescence Method for Giarda & Crytosporidium,APHA
9057,Impinger Solutions for Cl- by ICP,USEPA
D4254,Index Density and Unit Weight of Soils,ASTM
PMD-INB,Indolebutyric Acid by UV Spectroscopy,USEPA
200.10_M,Inductively Coupled Plasma,USEPA
ICP-AES,Inductively Coupled Plasma,USEPA
6010C,Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),USEPA
6020,Inductively Coupled Plasma - Mass Spec.,USEPA
6020_M,Inductively Coupled Plasma - Mass Spec.,USEPA
6010B,Inductively Coupled Plasma AES,USEPA
HERL_030,Infrared Spectroscopy,USEPA
4500-N-B,In-Line UV/Persulfate Digestion and Oxidation and Flow Injection Analysis,APHA_SM21ED
4500-N-B,In-Line UV/Persulfate Digestion and Oxidation and Flow Injection Analysis,TCEQMAIN
EPA_CLP_INOR,Inorganic Analytical Services provided under the EPA Contract Lab Program,USEPA
920.13,Inorganic and Organometallic Pesticides,AOAC
300(A),Inorganic Anions by Ion Chromatography,USEPA
300(B),Inorganic Anions by Ion Chromatography,USEPA
993.3,Inorganic Anions in Water,AOAC
PMD-AS(TIT3),Inorganic Arsenic Compounds by Titration,USEPA
1632,Inorganic Arsenic in Water by Hydride Generation Quartz Furnace,USEPA
12 (ATM PB),Inorganic Lead Emissions in Air,USEPA
HERL_025,Insecticides in Bottom Sediment,USEPA
HERL_024,Insecticides in Soils and Housedust,USEPA
IP-1A-C,Installation and Operation Procedure,USEPA
445,In-Vitro Determination of Chlorophyll,USEPA
D3869(A),Iodide and Bromide in Saline Water,ASTM
D3869(B),Iodide in Saline Water by Colorimetry,ASTM
D3869(C),Iodide in Saline Water by ISE-I,ASTM
I1371,Iodide in Water by Colorimetry,USDOI/USGS
4500-I-(C),Iodide in Water by Spectrophotometry- Catalytic Reduction Method,APHA
4500-I-(B),Iodide in Water by Spectrophotometry- Leuco Crystal Violet Method,APHA
345.1,Iodide in Water by Titration,USEPA
I1370,Iodide in Water by Titration,USDOI/USGS
6005,Iodine by Ion Chromatography,NIOSH
4500-I-B,Iodine in Water by Spectrophotometry,APHA
4500-I-C,Iodine in Water by Titration,APHA
RP230,Iodine-129 in Aqueous Solutions,USDOE/ASD
I-01,Iodine-131 in Drinking Water,USEPA
I-01,Iodine-131 in Milk,USDOE/EML
I-02,Iodine-131 in Milk,USEPA
973.67,"Iodine-131, Ba-140 and Cs-137 in Milk",AOAC
235.1,Iridium by FLAA,USEPA
235.2,Iridium by GFAA,USEPA
3500-IR,Iridium in Water by FLAA,APHA
D932,Iron Bacteria in Water and Deposits,ASTM
236.1,Iron by FLAA,USEPA
236.1_M,Iron by FLAA,USEPA
7380,Iron by FLAA,USEPA
236.2,Iron by GFAA,USEPA
236.2_M,Iron by GFAA,USEPA
7381,Iron by GFAA,USEPA
I5381,Iron in Bottom Material by FLAA,USDOI/USGS
920.197(A),Iron in Water,AOAC
920.197(B),Iron in Water,AOAC
D1068(B),Iron in Water by Chelation and FLAA,ASTM
3500-FE(D),Iron in Water by Colorimetry,APHA
I1381,Iron in Water by FLAA,USDOI/USGS
I3381,Iron in Water by FLAA,USDOI/USGS
I7381,Iron in Water by FLAA,USDOI/USGS
3500-FE(B),Iron in Water by FLAA or GFAA,APHA
3500-FE(C),Iron in Water by ICP,APHA
D1068(A),Iron in Water Using Direct FLAA,ASTM
D1068(C),Iron in Water Using GFAA,ASTM
D1068(D),Iron in Water Using Photometry,ASTM
FE-01,Iron-55 in Water Samples,USEPA
D5392,Isolation and Enumeration of E. coli Bacteria,ASTM
D5259,Isolation and Enumeration of Enterococci,ASTM
RS551,Isolation of Technetium-99 by Anion Exchange,USDOE/ASD
2508,Isophorone by GC/FID,NIOSH
1454,Isopropyl Acetate by GC/FID,NIOSH
1618,Isopropyl Ether by GC/FID,NIOSH
1620,Isopropyl Glycidyl Ether by GC/FID,NIOSH
11,Isotopic Analysis by Ge(Li) Detector,USEPA
12 (ISOTOPES),Isotopic Analysis by NaI(Tl) Detector,USEPA
U-02,Isotopic Uranium,USDOE/EML
U-03,Isotopic Uranium,USDOE/EML
SE-01,Isotopic Uranium and Radium-226,USDOE/EML
PMD-KAR(LC),Karbutilate by HPLC,USEPA
PMD-KAR(IR),Karbutilate by IR Spectroscopy,USEPA
KELADA-01,"Kelada Automated Test Methods for Total Cyanide, Acid Dissociable Cyanide, and Thiocyanate",USEPA
5508,Kepone by GC/ECD,NIOSH
HERL_009,Kepone in Blood and Environmental Samples,USEPA
1300,Ketone I by GC/FID,NIOSH
1301,Ketone II by GC/FID,NIOSH
9222-F,Klebsiella- Membrane Filter Procedure,APHA
202.62(D),KOH Fusion Samples by GFAA,USEPA
13,"Krypton, Xenon and Tritiated Methane",USEPA
KR-01,Krypton-85 in Environmental Air Samples,USEPA
PMD-LTF(LC1),Lactofen by HPLC,USEPA
PMD-LTF(LC2),Lactofen by HPLC,USEPA
PMD-TFU,Lamprecid by UV Spectroscopy,USEPA
1RM-7,Lead,ENV/CANADA
239.1,Lead by FLAA,USEPA
239.1_M,Lead by FLAA,USEPA
7420,Lead by FLAA,USEPA
7082,Lead by Flame AAS,NIOSH
239.2,Lead by GFAA,USEPA
239.2_M,Lead by GFAA,USEPA
7421,Lead by GFAA,USEPA
7105,Lead by GFAAS,NIOSH
8003,Lead in Blood and Urine by FLAA,NIOSH
I5399,Lead in Bottom Material by FLAA,USDOI/USGS
972.23,Lead in Fish,AOAC
972.24,Lead in Fish,AOAC
50APP-G,Lead in Particulate Matter,USEPA
2.8,Lead in Suspended Particulate Matter,USEPA
8033,Lead in Water,HACH
D3559(B),Lead in Water by Chelation and FLAA,ASTM
I1400,Lead in Water by Chelation and FLAA,USDOI/USGS
I3400,Lead in Water by Chelation and FLAA,USDOI/USGS
I7400,Lead in Water by Chelation and FLAA,USDOI/USGS
D3559(A),Lead in Water by FLAA,ASTM
I1399,Lead in Water by FLAA,USDOI/USGS
I3399,Lead in Water by FLAA,USDOI/USGS
I7399,Lead in Water by FLAA,USDOI/USGS
3500-PB(B),Lead in Water by FLAA or GFAA,APHA
D3559(D),Lead in Water by GFAA,ASTM
I1401,Lead in Water by GFAA,USDOI/USGS
3500-PB(C),Lead in Water by ICP,APHA
D3559(C),Lead in Water by Polarography,ASTM
3500-PB(D),Lead in Water by Spectrophotometry,APHA
7505,Lead Sulfide by X-Ray Powder Diffraction,NIOSH
10216,"Lead, PAR Method",HACH
R1130,Lead-210,USDOI/USGS
00-03,Lead-210 and Polonium-210 in Dried Samples,USEPA
PB-01(A),Lead-210 in Air filters,USDOE/EML
PB-01(B),Lead-210 in Bone,USDOE/EML
PB-01(F),Lead-210 in Food,USDOE/EML
PB-01(W),Lead-210 in Water,USDOE/EML
PB-01,Lead-210 in Water and Solid Samples,USEPA
PMD-LMG,Lemongrass Oil by GC/TCD,USEPA
O3109,Light Fuel Oils in Water,USDOI/USGS
920.34,Lime Sulfur Solution and Dry Lime Sulfur,AOAC
PMD-LIN,Lindane by IR Spectroscopy,USEPA
PMD-LIU(LC),Linuron by HPLC,USEPA
PMD-LIU(IR),Linuron by IR Spectroscopy,USEPA
PMD-LIU(UV),Linuron by UV Spectroscopy,USEPA
RI100,Liquid Scintillation Instrumentation,USDOE/ASD
993.09,"Listeria in Dairy, Seafood and Meats",AOAC
993.12,Listeria monocytogenes in Milk,AOAC
992.18,Listeria Species,AOAC
992.19,Listeria Species,AOAC
7430,Lithium by FLAA,USEPA
I5425,Lithium in Bottom Material by FLAA,USDOI/USGS
3500-LI(B),Lithium in Water by FLAA,APHA
I1425,Lithium in Water by FLAA,USDOI/USGS
I3425,Lithium in Water by FLAA,USDOI/USGS
I7425,Lithium in Water by FLAA,USDOI/USGS
3500-LI(D),Lithium in Water by Flame Photometry,APHA
3500-LI(C),Lithium in Water by ICP,APHA
D3561,"Lithium, Potassium and Sodium",ASTM
LC_PEST,Low Concentration Water for Pesticides,USEPA
410.2,Low Level Chemical Oxygen Demand,USEPA
I-03,Low Level Iodine-131 in Milk,USEPA
D4785,Low Level Iodine-131 in Water,ASTM
415.2,Low Level Total Organic Carbon in Water,USEPA
9 (TRITIUM),Low Level Tritium in Water,USEPA
B4520,Macrophytes- Distribution and Abundance (quantitative method),USDOI/USGS
10400-D,Macrophyton Population Estimates,APHA
10400-E,Macrophyton Productivity,APHA
242.1,Magnesium by FLAA,USEPA
242.1_M,Magnesium by FLAA,USEPA
7450,Magnesium by FLAA,USEPA
I5447,Magnesium in Bottom Material by FLAA,USDOI/USGS
920.2,Magnesium in Water,AOAC
3500-MG(E),Magnesium in Water by Calculation,APHA
I3448,Magnesium in Water by Direct EPA FLAA,USDOI/USGS
3500-MG(B),Magnesium in Water by FLAA,APHA
I1447,Magnesium in Water by FLAA,USDOI/USGS
I3447,Magnesium in Water by FLAA,USDOI/USGS
I7447,Magnesium in Water by FLAA,USDOI/USGS
3500-MG(D),Magnesium in Water by Gravimetric Analysis,APHA
3500-MG(C),Magnesium in Water by ICP,APHA
PMD-MAL(LC),Malathion by HPLC,USEPA
PMD-MAL(IR),Malathion by IR Spectroscopy,USEPA
3512,Maleic Anhydride by HPLC/UV,NIOSH
PMD-MHY(LC),Maleic Hydrazide (MH) by HPLC,USEPA
PMD-MHY(UV),Maleic Hydrazide by UV Spectroscopy,USEPA
963.24,Maleic Hydrazide Pesticide Residues,AOAC
1602,Male-specific (F+) and Somatic Coliphage in Water by Single Agar Layer (SAL) Procedure,USEPA
1601,Male-specific (F+) and Somatic Coliphage in Water by Two-step Enrichment Procedure,USEPA
243.1,Manganese by FLAA,USEPA
243.1_M,Manganese by FLAA,USEPA
7460,Manganese by FLAA,USEPA
243.2,Manganese by GFAA,USEPA
243.2_M,Manganese by GFAA,USEPA
7461,Manganese by GFAA,USEPA
I5454,Manganese in Bottom Material by FLAA,USDOI/USGS
8034,Manganese in Water,HACH
920.203,Manganese in Water,AOAC
D858(B),Manganese in Water by Chelation and FLAA,ASTM
I1456,Manganese in Water by Chelation and FLAA,USDOI/USGS
D858(A),Manganese in Water by FLAA,ASTM
I1454,Manganese in Water by FLAA,USDOI/USGS
I3454,Manganese in Water by FLAA,USDOI/USGS
I7454,Manganese in Water by FLAA,USDOI/USGS
3500-MN(B),Manganese in Water by FLAA or GFAA,APHA
D858(C),Manganese in Water by GFAA,ASTM
I1455,Manganese in Water by GFAA,USDOI/USGS
3500-MN(C),Manganese in Water by ICP,APHA
3500-MN(D),Manganese in Water by Spectrophotometry,APHA
4500-P-G,Manual Digestion and Flow Injection Analysis for Orthophosphate,TCEQMAIN
4500-P-G,Manual Digestion and Flow Injection Analysis for Orthophosphate,APHA_SM21ED
4500-P-H,Manual Digestion and Flow Injection Analysis for Total Phosphorus,APHA
PART_3,Maximum Total Trihalomethane Potential,USEPA
8302,MBOCA in Urine by GC/ECD,NIOSH
637,MBTS and TCMTB in Wastewater by HPLC,USEPA
10029,m-ColiBlue24 Method of the Determination of Total Coliforms and E. coli,HACH
D3648(A),"Measurement of Radioactivity, Alpha",ASTM
D3648(B),"Measurement of Radioactivity, Beta",ASTM
D3648(C),"Measurement of Radioactivity, Gamma",ASTM
TB_253,Measurement of Water Color,NCASI
9222A,Membrane Filter Technique for Members of the Coliform Group,APHA
600-R-00-013,Membrane filtration plating of coliform bacteria on MI agar,USEPA
1103.1 (modified),Membrane filtration plating of E. coli on modified mTEC agar,USEPA
9222G,Membrane filtration plating of E. coli with MUG-fluorescent detection,APHA
9222D,Membrane filtration test for fecal coliforms,APHA
640,Mercaptobenzothiazole in Wastewaters,USEPA
HG-01,Mercury - AA Spectroscopy,USDOE/EML
1620(C),Mercury - CVAA,USEPA
7472,Mercury by ASV,USEPA
6009,Mercury by Cold Vapor Atomic Absorption,NIOSH
245.2,Mercury by CVAA,USEPA
I-005-1,Mercury by CVAA,USEPA
I-006-1,Mercury by CVAA,USEPA
102,Mercury Emissions - Hydrogen Streams,USEPA
I5462,Mercury in Bottom Material by CVAA,USDOI/USGS
974.14,Mercury in Fish,AOAC
977.15,Mercury in Fish,AOAC
SFSAS_12,Mercury in Fish,USEPA
202.2_M/HG),Mercury in Industrial Wastes by CVAA,USEPA
7470A,Mercury in Liquid Wastes by CVAA,USEPA
SFSAS_11,Mercury in Sediment,USEPA
245.5,Mercury in Sediment by CVAA,USEPA
105,Mercury in Sewage Sludge,USEPA
245.5_M,Mercury in Soil and Sediment by CVAA,USEPA
7471A,Mercury in Solid or Semisolid Waste,USEPA
7471B,Mercury in Solid or Semisolid Waste (Manual Cold Vapor Technique),USEPA
7473,Mercury in solids and solutions by thermal decomposition,USEPA
245.6,Mercury in Tissue by CVAA,USEPA
977.22,Mercury in Water,AOAC
245.2_M,Mercury in Water by Automated CVAA,USEPA
245.7,Mercury in water by cold-vapor atomic fluorescence spectrometry,USEPA
245.1,Mercury in Water by CVAA,USEPA
3112-B,Mercury in Water by CVAA,APHA
3500-HG(B),Mercury in Water by CVAA,APHA
I1462,Mercury in Water by CVAA,USDOI/USGS
I2462,Mercury in Water by CVAA,USDOI/USGS
I3462,Mercury in Water by CVAA,USDOI/USGS
I7462,Mercury in Water by CVAA,USDOI/USGS
245.3,Mercury in Water by HPLC,USEPA
245.1_M,Mercury in Water by Manual CVAA,USEPA
1631,"Mercury in Water by Oxidation, Purge and Trap, and CVAFS",USEPA
3500-HG(C),Mercury in Water by Spectrophotometry,APHA
PMD-MDZ,Merphos by Internal Standard GC,USEPA
10200-J,Metabolic Rate Measurements,APHA
HERL_011,Metabolites or Hydrolysis Products,USEPA
PMD-MFX,Metalaxyl by Internal Standard GC,USEPA
PMD-MEA(GC),Metaldehyde by GC/TCD,USEPA
PMD-MEA(IR),Metaldehyde by IR Spectroscopy,USEPA
3130,Metals by Anodic Stripping Voltammetry,APHA
D4190,Metals by Argon Emission Spectroscopy,ASTM
200,Metals by Atomic Absorption,USEPA
1620(A),Metals by Calibrated ICP,USEPA
IM-003-1,Metals by Flame AA,USEPA
1620(B),Metals by GFAA,USEPA
1620(D),Metals by Semi-quantitative ICP Screen,USEPA
200.9,Metals by Temperature Stabilized GFAA,USEPA
29,Metals Emissions from Stationary Sources,USEPA
ITM-001,Metals Emissions from Stationary Sources,USEPA
M-02-MTL(AAS),Metals in Aqueous Solutions,USDOE/EML
M-02-MTL(AES),Metals in Aqueous Solutions,USDOE/EML
SFSAS_14,Metals in Fish,USEPA
200.11,Metals in Fish Tissue by ICP-AES,USEPA
OSW-A,Metals in Incinerator Exhausts,USEPA
200.1,Metals in Marine Waters by ICP/MS,USEPA
3040,"Metals in Oils, Greases and Wax",USEPA
SFSAS_13,Metals in Sediment,USEPA
I5473,Metals in Sediment by FLAA,USDOI/USGS
I5474,Metals in Sediment by FLAA,USDOI/USGS
I5475,Metals in Sediment by HYDAA,USDOI/USGS
200.7(S),Metals in Soil by ICP-AES,USEPA
I-001-1,Metals in Soil by XRF,USEPA
990.08,Metals in Solid Wastes by ICP,AOAC
8310,Metals in Urine by ICP,NIOSH
200.8(S),Metals in Wastes by ICP/MS,USEPA
3114-C,Metals in Water by Continuous HYDAA,APHA
3111-B,Metals in Water by FLAA- Direct Air-Acetylene Flame,APHA
3111-D,Metals in Water by FLAA- Direct Nitrous Oxide-Acetylene Flame,APHA
3111-C,Metals in Water by FLAA- Extraction/Air-Acetylene Flame,APHA
3111-E,Metals in Water by FLAA- Extraction/Nitrous Oxide-Acetylene Flame,APHA
3113-B,Metals in Water by GFAA,APHA
3120,Metals in Water by ICP,APHA
I1472,Metals in Water by ICP,USDOI/USGS
200.7,Metals in Water by ICP-AES,USEPA
200.7(W),Metals in Water by ICP-AES,USEPA
3114-B,Metals in Water by Manual HYDAA,APHA
200.15,Metals in Water by Nebulization and ICP-AES,USEPA
200.8,Metals in Waters by ICP/MS,USEPA
200.8(W),Metals in Waters by ICP/MS,USEPA
D4185,Metals in Workplace Atmosphere by AAS,ASTM
6211-B,Methane in Water by Combustable Gas,APHA
6211-C,Methane in Water by Volumetric Analysis,APHA
2000,Methanol by GC/FID,NIOSH
PMD-MEL,Methidathion by GC/FID,USEPA
PMD-MEM,Methiocarb by IR Spectroscopy,USEPA
60-24,Methods for Soil Characterization-Organic Matter,USDA
PMD-MER,Methomyl by HPLC,USEPA
PMD-MET,Methoprene by Internal Standard GC,USEPA
PMD-MEY(GC),Methoxychlor by GC/FID,USEPA
PMD-MEY(LC),Methoxychlor by HPLC,USEPA
PMD-MEY(IR),Methoxychlor by IR Spectroscopy,USEPA
1458,Methyl Acetate by GC/FID,NIOSH
1459,Methyl Acrylate by GC/FID,NIOSH
1451,Methyl Cellosolve Acetate by GC/FID,NIOSH
1001,Methyl Chloride by GC/FID,NIOSH
2500,Methyl Ethyl Ketone by GC/FID,NIOSH
3508,Methyl Ethyl Ketone Peroxide by VA Spec.,NIOSH
8002,"Methyl Ethyl Ketone, Ethanol and Toluene",NIOSH
1014,Methyl Iodide by GC/FID,NIOSH
1630,"Methyl Mercury in Water by Distillation, Aqueous Ethylation, Purge and Trap and CVAFS",USEPA
2537,Methyl Methacrylate by GC/FID,NIOSH
PMD-MGC,Methyl Nonyl Ketone (MNK) by GC/TCD,USEPA
1615,Methyl tert-Butyl Ether by GC/FID,NIOSH
2542,"Methyl-, Ethyl- and n-Butyl Mercaptans",NIOSH
1611,Methylal by GC/FID,NIOSH
1404,Methylcyclohexane by GC/FID,NIOSH
2521,Methylcyclohexanone by GC/FID,NIOSH
O3111,Methylene Blue Active Substance in Water,USDOI/USGS
425.1,Methylene Blue Active Substances,USEPA
D2330,Methylene Blue Active Substances,ASTM
1005,Methylene Chloride by GC/FID,NIOSH
PMD-MGU(GC),Metobromuron by GC/TCD,USEPA
PMD-MGU(IR),Metobromuron by IR Spectroscopy,USEPA
PMD-MHX,Mexacarbate by GC/TCD,USEPA
D5465(C),Microbial Counts from Water by Plating,ASTM
D5465(A),Microbial Counts from Waters by Plating,ASTM
D5465(B),Microbial Counts from Waters by Plating,ASTM
949.12,Microchemical Deter. of Carbon and Hydrogen,AOAC
972.43,"Microchemical Deter. of Carbon, H and N",AOAC
956.07,Microchemical Determination of Alkoxyl Group,AOAC
